"date","datatype","station_id","value","fl_c"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",128,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",92,"R"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",4,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",177,"R"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",0,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",245,"R"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",0,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",269,"Q"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",-7777,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",99,"Q"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",8,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",106,"Q"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",71,"R"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",110,"Q"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",239,"R"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",162,"Q"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",442,"R"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",119,"Q"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",698,"R"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",59,"Q"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",639,"R"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",72,"Q"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",350,"R"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",57,"Q"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",82,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",97,"Q"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",4,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",155,"Q"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00357160",0,"R"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357160",195,"Q"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",242,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",175,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",175,"R"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",142,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",188,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",170,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",107,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",86,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",57,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",128,"R"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",257,"R"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00357250",282,"S"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",0,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",80,"C"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",-7777,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",58,"C"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",3,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",82,"C"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",22,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",85,"C"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",110,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",148,"C"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",251,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",118,"C"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",470,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",65,"C"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",452,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",71,"C"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",198,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",55,"S"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",30,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",63,"C"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",1,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",90,"C"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00024130",0,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USW00024130",98,"C"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",3,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",640,"S"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",6,"C"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",511,"C"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",22,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",444,"S"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",68,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",291,"S"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",189,"C"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",231,"C"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",326,"C"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",152,"C"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",519,"C"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",49,"C"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",522,"C"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",53,"C"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",371,"C"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",125,"C"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",129,"C"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",310,"C"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",19,"C"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",694,"C"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351862",3,"C"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351862",771,"C"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",2,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",1122,"S"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",4,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",855,"S"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",20,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",740,"C"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",64,"R"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",461,"C"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",185,"R"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",281,"C"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",316,"R"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",178,"C"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",496,"R"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",41,"C"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",498,"R"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",55,"S"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",354,"R"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",152,"C"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",117,"R"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",436,"C"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",13,"R"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",1095,"S"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00351877",2,"R"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00351877",1309,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",979,"R"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",826,"R"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",715,"R"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",516,"R"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",333,"R"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",261,"R"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",78,"R"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",65,"R"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",186,"R"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",489,"R"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",973,"R"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00358182",1169,"R"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",2,"Q"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USW00004236",1,"Q"
